Document Number,Amount in local currency,Supplier,Document Type
110005716,-395.1,E001292,AB
Clearing Document 200023497,-395.1,,
110005714,-348.0,E001141,AB
Clearing Document 200023510,-348.0,,
110005710,-1087.1,E000365,AB
Clearing Document 200023511,-1087.1,,
110005738,-1500.0,E001353,AB
Clearing Document 200023512,-1500.0,,
110005680,-566.73,E000659,AB
Clearing Document 200023513,-566.73,,
110005569,-30.65,E000773,AB
110005570,-167.35,E000773,AB
Clearing Document 200023514,-198.0,,
110005690,-175.54,E000787,AB
Clearing Document 200023515,-175.54,,
110005717,-565.61,E000876,AB
110005718,-56.97,E000876,AB
Clearing Document 200023516,-622.58,,
110005703,-20.0,E001122,AB
Clearing Document 200023517,-20.0,,
110005681,-352.76,E001381,AB
Clearing Document 200023518,-352.76,,
110005683,-295.94,E001401,AB
110005684,-69.4,E001401,AB
110005685,-63.1,E001401,AB
Clearing Document 200023519,-428.44,,
110005700,-161.5,E001459,AB
110005701,-65.45,E001459,AB
Clearing Document 200023520,-226.95,,
110005644,-1562.1,E001522,AB
Clearing Document 200023521,-1562.1,,
110005719,-912.3,E001539,AB
Clearing Document 200023522,-912.3,,
110005677,-69.2,E000763,AB
Clearing Document 200023652,-69.2,,
110005676,-40.0,E000941,AB
Clearing Document 200023653,-40.0,,
110005675,-17.5,E001135,AB
Clearing Document 200023654,-17.5,,
110005791,-160.0,E000539,AB
Clearing Document 200023743,-160.0,,
110005787,-20.0,E000596,AB
110005788,-20.0,E000596,AB
110005789,-20.0,E000596,AB
110005790,-20.0,E000596,AB
Clearing Document 200023744,-80.0,,
110005802,-118.0,E000973,AB
110005803,-17.85,E000973,AB
Clearing Document 200023745,-135.85,,
110005801,-160.0,E000994,AB
Clearing Document 200023746,-160.0,,
110005793,-20.0,E001168,AB
110005794,-20.0,E001168,AB
110005795,-20.0,E001168,AB
110005796,-88.0,E001168,AB
Clearing Document 200023747,-148.0,,
110005776,-20.0,E001234,AB
110005777,-20.0,E001234,AB
110005778,-20.0,E001234,AB
110005779,-20.0,E001234,AB
110005780,-59.0,E001234,AB
Clearing Document 200023748,-139.0,,
110005770,-20.0,E001245,AB
110005771,-20.0,E001245,AB
110005772,-40.0,E001245,AB
110005773,-20.0,E001245,AB
110005774,-20.0,E001245,AB
110005775,-20.0,E001245,AB
Clearing Document 200023749,-140.0,,
110005797,-20.0,E001370,AB
110005798,-20.0,E001370,AB
110005799,-20.0,E001370,AB
110005800,-20.0,E001370,AB
Clearing Document 200023750,-80.0,,
110005781,-20.0,E001387,AB
110005782,-20.0,E001387,AB
110005783,-20.0,E001387,AB
110005784,-20.0,E001387,AB
110005785,-20.0,E001387,AB
110005786,-20.0,E001387,AB
Clearing Document 200023751,-120.0,,
110005792,-168.0,E001544,AB
Clearing Document 200023752,-168.0,,
110005705,-260.0,E000933,AB
110005706,-348.0,E000933,AB
Clearing Document 200023770,-608.0,,
110005667,-302.0,E001123,AB
Clearing Document 200023781,-302.0,,
110005668,-302.0,E001223,AB
Clearing Document 200023784,-302.0,,
110005751,-505.39,E001228,AB
110005752,-237.84,E001228,AB
Clearing Document 200023786,-743.23,,
110005767,-81.9,E001507,AB
Clearing Document 200023789,-81.9,,
110005745,-89.3,E000913,AB
110005765,-87.5,E000913,AB
Clearing Document 200023791,-176.8,,
110005743,-172.0,E001156,AB
Clearing Document 200023792,-172.0,,
110005746,-27.2,E001280,AB
Clearing Document 200023793,-27.2,,
110005747,-513.82,E001323,AB
Clearing Document 200023794,-513.82,,
110005744,-484.6,E001518,AB
Clearing Document 200023795,-484.6,,
110005748,-403.71,E001541,AB
Clearing Document 200023796,-403.71,,
110005829,-275.0,E001549,AB
Clearing Document 200023807,-275.0,,
110005836,-275.0,E001179,AB
Clearing Document 200023808,-275.0,,
110005842,-220.19,E001123,AB
Clearing Document 200023831,-220.19,,
110005843,-51.5,E001276,AB
Clearing Document 200023832,-51.5,,
110005832,-292.0,E000122,AB
Clearing Document 200023853,-292.0,,
110005834,-68.0,E000221,AB
Clearing Document 200023854,-68.0,,
110005837,-1845.34,E001178,AB
Clearing Document 200023855,-1845.34,,
110005819,-110.0,E000225,AB
110005820,-110.0,E000225,AB
Clearing Document 200023857,-220.0,,
110005823,-56.0,E000404,AB
Clearing Document 200023858,-56.0,,
110005821,-746.0,E000849,AB
Clearing Document 200023859,-746.0,,
110005817,-1073.5,E001220,AB
110005818,-235.0,E001220,AB
Clearing Document 200023860,-1308.5,,
110005822,-324.0,E001513,AB
Clearing Document 200023861,-324.0,,
110005810,-167.0,E001243,AB
Clearing Document 200023868,-167.0,,
110005807,-350.0,E001295,AB
110005808,-555.5,E001295,AB
Clearing Document 200023869,-905.5,,
110005805,-350.0,E001307,AB
Clearing Document 200023870,-350.0,,
110005811,-167.0,E001341,AB
Clearing Document 200023871,-167.0,,
110005806,-350.0,E001410,AB
Clearing Document 200023872,-350.0,,
110005804,-350.0,E001540,AB
110005812,-167.0,E001540,AB
Clearing Document 200023873,-517.0,,
110005713,-37.5,E001136,AB
Clearing Document 200023880,-37.5,,
110002525,-101.23,E001497,AB
110005711,-1508.13,E001497,AB
110005712,-1397.49,E001497,AB
Clearing Document 200023884,-3006.85,,
110005890,-324.0,E001261,AB
Clearing Document 200023887,-324.0,,
110005891,-63.86,E001077,AB
Clearing Document 200023888,-63.86,,
110005841,-260.0,E001499,AB
Clearing Document 200023889,-260.0,,
110005835,-348.0,E001537,AB
Clearing Document 200023890,-348.0,,
110005813,-40.0,E000813,AB
110005814,-148.13,E000813,AB
110005815,-708.22,E000813,AB
110005816,-25.5,E000813,AB
Clearing Document 200023921,-921.85,,
110005926,-194.86,E001189,AB
Clearing Document 200023933,-194.86,,
110005901,-990.0,E001032,AB
Clearing Document 200023953,-990.0,,
110005900,-500.0,E001095,AB
Clearing Document 200023954,-500.0,,
110005935,-166.7,E000913,AB
110005936,-87.5,E000913,AB
Clearing Document 200023984,-254.2,,
110005937,-15.8,E000995,AB
110005938,-344.0,E000995,AB
110005943,-20.0,E000995,AB
Clearing Document 200023985,-379.8,,
110005922,-523.2,E001247,AB
Clearing Document 200023986,-523.2,,
110005904,-167.0,E000394,AB
Clearing Document 200023987,-167.0,,
110005902,-199.5,E001135,AB
110005903,-187.5,E001135,AB
Clearing Document 200023988,-387.0,,
110005907,-700.0,E001307,AB
Clearing Document 200023989,-700.0,,
110005906,-800.0,E001410,AB
Clearing Document 200023990,-800.0,,
110005905,-700.0,E001425,AB
Clearing Document 200023991,-700.0,,
110005910,-600.0,E001476,AB
Clearing Document 200023992,-600.0,,
110005909,-700.0,E001540,AB
Clearing Document 200023993,-700.0,,
110005883,-320.0,E001276,AB
Clearing Document 200024019,-320.0,,
110005846,-237.0,E000778,AB
Clearing Document 200024028,-237.0,,
110005865,-10.06,E001232,AB
Clearing Document 200024029,-10.06,,
110005847,-237.0,E001528,AB
Clearing Document 200024030,-237.0,,
110005739,-151.42,E001233,AB
Clearing Document 200024035,-151.42,,
110005740,-63.22,E001236,AB
Clearing Document 200024036,-63.22,,
110005888,-207.82,E000503,AB
110005889,-336.98,E000503,AB
Clearing Document 200024077,-544.8,,
110005884,-394.8,E000845,AB
110005885,-457.5,E000845,AB
110005886,-973.52,E000845,AB
Clearing Document 200024078,-1825.82,,
110005887,-286.6,E001160,AB
Clearing Document 200024079,-286.6,,
110005882,-397.18,E001177,AB
Clearing Document 200024080,-397.18,,
110005881,-470.94,E001314,AB
Clearing Document 200024081,-470.94,,
110005929,-164.5,E000167,AB
110005930,-27.5,E000167,AB
Clearing Document 200024083,-192.0,,
110005927,-315.0,E000418,AB
110005928,-162.52,E000418,AB
Clearing Document 200024084,-477.52,,
110005925,-388.5,E000164,AB
Clearing Document 200024085,-388.5,,
110005923,-262.0,E000244,AB
Clearing Document 200024086,-262.0,,
110005919,-241.03,E000570,AB
110005920,-277.0,E000570,AB
Clearing Document 200024087,-518.03,,
110005921,-294.41,E000855,AB
Clearing Document 200024088,-294.41,,
110005918,-160.1,E000165,AB
Clearing Document 200024089,-160.1,,
110005917,-176.0,E001012,AB
Clearing Document 200024090,-176.0,,
110005916,-639.5,E001210,AB
Clearing Document 200024091,-639.5,,
110005913,-167.5,E000635,AB
Clearing Document 200024092,-167.5,,
110005912,-399.5,E000487,AB
Clearing Document 200024093,-399.5,,
110005914,-399.5,E001050,AB
Clearing Document 200024094,-399.5,,
110005915,-639.5,E000986,AB
Clearing Document 200024095,-639.5,,
110005911,-167.5,E001096,AB
Clearing Document 200024096,-167.5,,
110005908,-361.33,E001011,AB
Clearing Document 200024097,-361.33,,
110005991,-1249.87,E001182,AB
Clearing Document 200024160,-1249.87,,
110005990,-98.5,E001504,AB
Clearing Document 200024161,-98.5,,
110005992,-213.08,E001416,AB
Clearing Document 200024162,-213.08,,
110005981,-344.0,E000867,AB
110005982,-379.73,E000867,AB
Clearing Document 200024194,-723.73,,
110005985,-500.0,E000913,AB
Clearing Document 200024195,-500.0,,
110005983,-1388.1,E001175,AB
Clearing Document 200024199,-1388.1,,
110005984,-359.03,E001175,AB
Clearing Document 200024200,-359.03,,
110005980,-216.0,E001280,AB
Clearing Document 200024203,-216.0,,
110005977,-803.32,E000278,AB
Clearing Document 200024209,-803.32,,
110005953,-82.8,E000358,AB
110005954,-67.5,E000358,AB
110005955,-52.46,E000358,AB
110005956,-73.1,E000358,AB
110005957,-73.1,E000358,AB
110005958,-42.75,E000358,AB
110005959,-67.5,E000358,AB
110005960,-77.25,E000358,AB
110005961,-277.25,E000358,AB
110005962,-286.15,E000358,AB
Clearing Document 200024210,-1099.86,,
110005963,-129.0,E000790,AB
110005964,-16.5,E000790,AB
110005965,-29.25,E000790,AB
110005966,-25.5,E000790,AB
110005967,-21.75,E000790,AB
110005968,-25.5,E000790,AB
110005969,-12.0,E000790,AB
110005970,-225.8,E000790,AB
Clearing Document 200024211,-485.3,,
110005974,-1010.0,E000996,AB
Clearing Document 200024212,-1010.0,,
110005975,-20.0,E001455,AB
110005976,-20.0,E001455,AB
Clearing Document 200024213,-40.0,,
110005979,-680.62,E001520,AB
Clearing Document 200024214,-680.62,,
110005945,-47.0,E000323,AB
Clearing Document 200024218,-47.0,,
110005876,-2407.19,E000391,AB
Clearing Document 200024219,-2407.19,,
110005895,-465.75,E000439,AB
Clearing Document 200024220,-465.75,,
110005946,-323.6,E000585,AB
Clearing Document 200024221,-323.6,,
110005825,-1227.15,E000706,AB
Clearing Document 200024222,-1227.15,,
110005764,-1606.5,E000835,AB
Clearing Document 200024223,-1606.5,,
110005466,-109.4,E001076,AB
110005467,-175.0,E001076,AB
110005833,-421.9,E001076,AB
Clearing Document 200024224,-706.3,,
110005848,-526.09,E001083,AB
110005849,-329.69,E001083,AB
110005850,-1218.32,E001083,AB
110005851,-505.38,E001083,AB
110005852,-468.1,E001083,AB
110005853,-20.35,E001083,AB
110005854,-21.35,E001083,AB
110005855,-21.35,E001083,AB
110005856,-21.25,E001083,AB
110005857,-23.6,E001083,AB
110005858,-23.6,E001083,AB
110005859,-30.3,E001083,AB
110005860,-30.3,E001083,AB
Clearing Document 200024225,-3239.68,,
110005896,-904.73,E001417,AB
Clearing Document 200024226,-904.73,,
110005892,-520.99,E001480,AB
110005893,-51.75,E001480,AB
110005894,-79.2,E001480,AB
Clearing Document 200024227,-651.94,,
110005989,-348.0,E001351,AB
Clearing Document 200024231,-348.0,,
110005988,-348.0,E000232,AB
Clearing Document 200024232,-348.0,,
110006029,-500.0,E001069,AB
Clearing Document 200024248,-500.0,,
110006033,-200.0,E001132,AB
Clearing Document 200024249,-200.0,,
110006028,-550.0,E001142,AB
Clearing Document 200024250,-550.0,,
110006032,-232.0,E001512,AB
Clearing Document 200024251,-232.0,,
110006017,-161.5,E001135,AB
Clearing Document 200024267,-161.5,,
110006021,-710.0,E000253,AB
110006022,-283.5,E000253,AB
Clearing Document 200024293,-993.5,,
110006010,-40.0,E000264,AB
Clearing Document 200024294,-40.0,,
110006011,-220.0,E000445,AB
Clearing Document 200024295,-220.0,,
110006007,-232.25,E000609,AB
110006008,-689.74,E000609,AB
Clearing Document 200024296,-921.99,,
110006013,-130.05,E000651,AB
110006014,-106.25,E000651,AB
110006015,-113.05,E000651,AB
110006016,-50.15,E000651,AB
Clearing Document 200024297,-399.5,,
110006020,-244.1,E000762,AB
Clearing Document 200024298,-244.1,,
110006018,-51.75,E000881,AB
110006019,-58.65,E000881,AB
Clearing Document 200024299,-110.4,,
110006024,-446.12,E001069,AB
Clearing Document 200024300,-446.12,,
110006012,-643.69,E001073,AB
Clearing Document 200024301,-643.69,,
110006009,-192.5,E001107,AB
Clearing Document 200024302,-192.5,,
110006023,-372.18,E001512,AB
Clearing Document 200024303,-372.18,,
110006077,-180.0,E001297,AB
Clearing Document 200024316,-180.0,,
110006080,-657.0,E001148,AB
Clearing Document 200024327,-657.0,,
110006098,-1223.38,E000846,AB
Clearing Document 200024328,-1223.38,,
110006097,-203.5,E000356,AB
Clearing Document 200024329,-203.5,,
110006095,-686.35,E000981,AB
Clearing Document 200024330,-686.35,,
110006093,-68.0,E001320,AB
Clearing Document 200024331,-68.0,,
110006088,-27.5,E001287,AB
110006089,-27.5,E001287,AB
110006090,-179.9,E001287,AB
110006091,-224.5,E001287,AB
110006092,-161.76,E001287,AB
Clearing Document 200024332,-621.16,,
110006082,-27.5,E001211,AB
110006083,-27.5,E001211,AB
110006085,-27.5,E001211,AB
110006086,-224.5,E001211,AB
110006087,-356.05,E001211,AB
Clearing Document 200024333,-663.05,,
110006081,-100.0,E001097,AB
Clearing Document 200024334,-100.0,,
110006079,-348.0,E001550,AB
Clearing Document 200024337,-348.0,,
110006078,-176.45,E001224,AB
Clearing Document 200024338,-176.45,,
110005947,-67.15,E000279,AB
110005948,-36.55,E000279,AB
110005949,-371.63,E000279,AB
Clearing Document 200024340,-475.33,,
110005978,-912.39,E000334,AB
110006034,-460.86,E000334,AB
Clearing Document 200024341,-1373.25,,
110006074,-793.38,E000425,AB
Clearing Document 200024342,-793.38,,
110006073,-330.0,E000446,AB
Clearing Document 200024343,-330.0,,
110006041,-470.58,E000767,AB
Clearing Document 200024344,-470.58,,
110006043,-617.18,E000889,AB
110006046,-32.0,E000889,AB
Clearing Document 200024345,-649.18,,
110006075,-40.9,E001052,AB
Clearing Document 200024346,-40.9,,
110005971,-245.83,E001083,AB
110005972,-21.25,E001083,AB
110005973,-27.55,E001083,AB
Clearing Document 200024347,-294.63,,
110006076,-863.8,E001114,AB
Clearing Document 200024348,-863.8,,
110006066,-1006.58,E001284,AB
110006067,-379.82,E001284,AB
110006068,-99.05,E001284,AB
110006069,-22.5,E001284,AB
110006070,-335.45,E001284,AB
110006071,-647.95,E001284,AB
110006072,-15.0,E001284,AB
Clearing Document 200024349,-2506.35,,
110006050,-177.89,E001369,AB
110006051,-56.2,E001369,AB
Clearing Document 200024350,-234.09,,
110004428,136.67,E001483,AB
110006047,-586.8,E001483,AB
Clearing Document 200024351,-450.13,,
110005898,-60.0,E000308,AB
Clearing Document 200024352,-60.0,,
110005899,-228.04,E000675,AB
Clearing Document 200024354,-228.04,,
110005897,-403.75,E000958,AB
Clearing Document 200024355,-403.75,,
110006134,-285.84,E001120,AB
Clearing Document 200024385,-285.84,,
110006142,-145.7,E001120,AB
Clearing Document 200024386,-145.7,,
110006146,-288.0,E001120,AB
Clearing Document 200024387,-288.0,,
110006149,-668.45,E001120,AB
Clearing Document 200024388,-668.45,,
110005993,-548.0,E000649,AB
Clearing Document 200024479,-548.0,,
110006048,-51.0,E000719,AB
110006049,-25.5,E000719,AB
Clearing Document 200024480,-76.5,,
110006102,-230.56,E000128,AB
Clearing Document 200024512,-230.56,,
110006155,-95.3,E001192,AB
Clearing Document 200024514,-95.3,,
110006100,-200.0,E001193,AB
Clearing Document 200024515,-200.0,,
110006107,-850.0,E001405,AB
Clearing Document 200024516,-850.0,,
110006187,-227.3,E000407,AB
Clearing Document 200024536,-227.3,,
110006180,-200.0,E001308,AB
Clearing Document 200024537,-200.0,,
110006157,-252.4,E001547,AB
Clearing Document 200024538,-252.4,,
110006177,-40.8,E001547,AB
Clearing Document 200024539,-40.8,,
110006178,-40.8,E001547,AB
Clearing Document 200024540,-40.8,,
110006179,-224.16,E001547,AB
Clearing Document 200024541,-224.16,,
110006137,-304.0,E000623,AB
110006138,-400.0,E000623,AB
Clearing Document 200024554,-704.0,,
110006140,-22.5,E001129,AB
110006141,-22.5,E001129,AB
110006143,-659.9,E001129,AB
Clearing Document 200024555,-704.9,,
110006196,-156.0,E000434,AB
Clearing Document 200024584,-156.0,,
110006197,-156.0,E000729,AB
Clearing Document 200024585,-156.0,,
110006198,-248.4,E000732,AB
Clearing Document 200024586,-248.4,,
110006199,-156.0,E001020,AB
Clearing Document 200024587,-156.0,,
110006204,-160.0,E000551,AB
Clearing Document 200024589,-160.0,,
110006191,-306.0,E000558,AB
Clearing Document 200024590,-306.0,,
110006195,-320.0,E000731,AB
Clearing Document 200024591,-320.0,,
110006194,-320.0,E000809,AB
Clearing Document 200024592,-320.0,,
110006164,-700.0,E001015,AB
Clearing Document 200024593,-700.0,,
110006163,-700.0,E001195,AB
Clearing Document 200024594,-700.0,,
110006166,-475.7,E001197,AB
Clearing Document 200024595,-475.7,,
110006211,-800.0,E000384,AB
Clearing Document 200024596,-800.0,,
110006215,-62.7,E000489,AB
Clearing Document 200024599,-62.7,,
110006216,-160.7,E000489,AB
Clearing Document 200024600,-160.7,,
110006217,-40.7,E000489,AB
Clearing Document 200024601,-40.7,,
110006236,-707.59,E000342,AB
Clearing Document 200024640,-707.59,,
110006242,-420.0,E000033,AB
Clearing Document 200024655,-420.0,,
110006243,-396.0,E000596,AB
Clearing Document 200024656,-396.0,,
110006245,-250.4,E000746,AB
Clearing Document 200024657,-250.4,,
110006244,-400.0,E001168,AB
Clearing Document 200024658,-400.0,,
110006239,-420.0,E001234,AB
Clearing Document 200024659,-420.0,,
110006241,-420.0,E001245,AB
Clearing Document 200024660,-420.0,,
110006240,-420.0,E001370,AB
Clearing Document 200024661,-420.0,,
110006238,-416.0,E001295,AB
Clearing Document 200024663,-416.0,,
110006237,-416.0,E001476,AB
Clearing Document 200024664,-416.0,,
110006227,-500.0,E000679,AB
Clearing Document 200024675,-500.0,,
110006000,-49.2,E000877,AB
110006001,-986.3,E000877,AB
Clearing Document 200024676,-1035.5,,
110005996,-93.5,E001070,AB
Clearing Document 200024677,-93.5,,
110005995,-184.46,E001332,AB
Clearing Document 200024678,-184.46,,
110005997,-1232.14,E001442,AB
110005998,-107.04,E001442,AB
Clearing Document 200024679,-1339.18,,
110006103,-36.4,E000246,AB
110006104,-52.06,E000246,AB
110006105,-38.05,E000246,AB
110006106,-7.0,E000246,AB
Clearing Document 200024713,-133.51,,
110006158,-348.0,E001149,AB
Clearing Document 200024728,-348.0,,
110006181,-233.6,E000529,AB
Clearing Document 200024732,-233.6,,
110006188,-233.6,E000678,AB
Clearing Document 200024733,-233.6,,
110006182,-101.66,E000851,AB
Clearing Document 200024734,-101.66,,
110006183,-233.6,E000917,AB
Clearing Document 200024735,-233.6,,
110006192,-591.0,E000956,AB
110006193,-155.0,E000956,AB
Clearing Document 200024736,-746.0,,
110006189,-155.0,E001229,AB
Clearing Document 200024737,-155.0,,
110006190,-984.34,E001548,AB
Clearing Document 200024738,-984.34,,
110006184,-1258.26,E000716,AB
110006185,-264.96,E000716,AB
110006186,-1078.05,E000716,AB
Clearing Document 200024739,-2601.27,,
110006035,-430.0,E000321,AB
110006036,-257.5,E000321,AB
110006037,-363.3,E000321,AB
110006038,-147.5,E000321,AB
110006039,-147.0,E000321,AB
110006040,-228.4,E000321,AB
Clearing Document 200024760,-1573.7,,
110006257,-39.3,E000157,AB
Clearing Document 200024768,-39.3,,
110006246,-189.0,E000229,AB
110006247,-254.0,E000229,AB
Clearing Document 200024792,-443.0,,
110006248,-260.0,E001393,AB
110006250,-293.5,E001393,AB
110006251,-773.5,E001393,AB
Clearing Document 200024793,-1327.0,,
110006099,-660.0,E000626,AB
Clearing Document 200024827,-660.0,,
110006101,-200.0,E001226,AB
Clearing Document 200024831,-200.0,,
110006285,-22.1,E000157,AB
110006286,-79.8,E000157,AB
Clearing Document 200024837,-101.9,,
110006283,-644.52,E001236,AB
Clearing Document 200024838,-644.52,,
110006287,-813.9,E000877,AB
Clearing Document 200024839,-813.9,,
110006302,-200.0,E000859,AB
Clearing Document 200024841,-200.0,,
110006303,-494.23,E000940,AB
Clearing Document 200024842,-494.23,,
110006304,-663.0,E001063,AB
Clearing Document 200024844,-663.0,,
110006305,-232.5,E001497,AB
110006306,-1512.23,E001497,AB
Clearing Document 200024846,-1744.73,,
110006295,-177.95,E000090,AB
Clearing Document 200024853,-177.95,,
110006314,-1500.0,E001461,AB
Clearing Document 200024859,-1500.0,,
110006165,-29.2,E000264,AB
Clearing Document 200024864,-29.2,,
110006170,-200.0,E000649,AB
Clearing Document 200024865,-200.0,,
110006173,-169.5,E000925,AB
110006174,-17.5,E000925,AB
110006175,-17.5,E000925,AB
110006176,-210.5,E000925,AB
Clearing Document 200024866,-415.0,,
110006205,-74.9,E000984,AB
Clearing Document 200024867,-74.9,,
110006161,-47.2,E001058,AB
Clearing Document 200024868,-47.2,,
110006171,-110.0,E001137,AB
110006172,-110.0,E001137,AB
Clearing Document 200024869,-220.0,,
110006167,-57.8,E001202,AB
Clearing Document 200024870,-57.8,,
110006209,-442.85,E001254,AB
Clearing Document 200024871,-442.85,,
110006210,-86.43,E001271,AB
Clearing Document 200024872,-86.43,,
110005188,26.86,E001371,AB
110006160,-162.0,E001371,AB
Clearing Document 200024873,-135.14,,
110006162,-220.63,E001415,AB
Clearing Document 200024874,-220.63,,
110006213,-619.56,E001460,AB
Clearing Document 200024875,-619.56,,
110006159,-442.0,E001521,AB
Clearing Document 200024876,-442.0,,
110006326,-479.26,E000769,AB
Clearing Document 200024888,-479.26,,
110006320,-313.0,E001118,AB
110006321,-250.5,E001118,AB
110006322,-426.5,E001118,AB
110006323,-325.0,E001118,AB
Clearing Document 200024889,-1315.0,,
110006324,-172.94,E001403,AB
110006325,-500.0,E001403,AB
Clearing Document 200024890,-672.94,,
110006281,-94.7,E000300,AB
Clearing Document 200024897,-94.7,,
110006268,-71.5,E001303,AB
110006269,-27.0,E001303,AB
Clearing Document 200024898,-98.5,,
110006263,-380.0,E000486,AB
Clearing Document 200024899,-380.0,,
110006262,-293.5,E000172,AB
Clearing Document 200024900,-293.5,,
110006261,-256.0,E000821,AB
Clearing Document 200024901,-256.0,,
110006123,-358.0,E000572,AB
110006124,-678.7,E000572,AB
110006125,-168.08,E000572,AB
Clearing Document 200024907,-1204.78,,
110006144,-139.54,E000701,AB
Clearing Document 200024908,-139.54,,
110006130,-794.26,E000783,AB
110006131,-132.6,E000783,AB
Clearing Document 200024909,-926.86,,
110006118,-596.95,E000839,AB
110006119,-248.16,E000839,AB
110006120,-85.85,E000839,AB
110006121,-11.1,E000839,AB
Clearing Document 200024910,-942.06,,
110006132,-722.7,E000841,AB
110006133,-175.72,E000841,AB
Clearing Document 200024911,-898.42,,
110006112,-21.9,E001110,AB
110006113,-75.46,E001110,AB
110006114,-43.8,E001110,AB
110006115,-79.06,E001110,AB
110006168,-198.13,E001110,AB
110006169,-27.2,E001110,AB
Clearing Document 200024912,-445.55,,
110006126,-905.0,E001145,AB
110006127,-374.12,E001145,AB
110006128,-119.0,E001145,AB
110006129,-431.7,E001145,AB
Clearing Document 200024913,-1829.82,,
110006122,-654.16,E001200,AB
Clearing Document 200024914,-654.16,,
110006139,-700.7,E001250,AB
Clearing Document 200024915,-700.7,,
110006116,-49.5,E001262,AB
110006117,-88.28,E001262,AB
Clearing Document 200024916,-137.78,,
110006150,-772.57,E001277,AB
110006151,-348.0,E001277,AB
110006152,-113.9,E001277,AB
110006153,-515.5,E001277,AB
110006154,-609.37,E001277,AB
Clearing Document 200024917,-2359.34,,
110006147,-667.2,E001278,AB
110006148,-73.38,E001278,AB
Clearing Document 200024918,-740.58,,
110006110,-372.0,E001283,AB
110006111,-732.69,E001283,AB
Clearing Document 200024919,-1104.69,,
110006136,-995.2,E001294,AB
Clearing Document 200024920,-995.2,,
110006145,-42.41,E001365,AB
Clearing Document 200024921,-42.41,,
110006108,-35.2,E001372,AB
110006109,-38.41,E001372,AB
110006207,-82.5,E001372,AB
Clearing Document 200024922,-156.11,,
110006280,-128.8,E000079,AB
Clearing Document 200024923,-128.8,,
110006272,-61.3,E000260,AB
Clearing Document 200024924,-61.3,,
110006228,-72.2,E000706,AB
Clearing Document 200024925,-72.2,,
110006230,-149.0,E000790,AB
110006231,-18.75,E000790,AB
Clearing Document 200024926,-167.75,,
110006225,-73.5,E000857,AB
Clearing Document 200024927,-73.5,,
110006278,-66.5,E000997,AB
Clearing Document 200024928,-66.5,,
110006258,-187.5,E001191,AB
Clearing Document 200024929,-187.5,,
110006260,-1127.1,E001260,AB
Clearing Document 200024930,-1127.1,,
110006259,-899.9,E001395,AB
Clearing Document 200024931,-899.9,,
110006226,-68.75,E001459,AB
Clearing Document 200024932,-68.75,,
110006279,-544.0,E001460,AB
Clearing Document 200024933,-544.0,,
110006223,-836.8,E001482,AB
Clearing Document 200024934,-836.8,,
110006264,-66.5,E001561,AB
110006265,-70.6,E001561,AB
110006266,-67.1,E001561,AB
110006267,-118.92,E001561,AB
Clearing Document 200024935,-323.12,,
110006315,-604.88,E000135,AB
110006316,-216.0,E000135,AB
110006317,-480.92,E000135,AB
Clearing Document 200024937,-1301.8,,
110006318,-131.0,E000735,AB
Clearing Document 200024939,-131.0,,
110006319,-1858.86,E001221,AB
Clearing Document 200024942,-1858.86,,
110006328,-349.0,E000778,AB
Clearing Document 200024970,-349.0,,
110006336,-606.31,E001177,AB
Clearing Document 200024996,-606.31,,
110006327,-102.0,E001398,AB
Clearing Document 200025037,-102.0,,
110006292,-330.0,E000169,AB
Clearing Document 200025050,-330.0,,
110006271,-183.28,E000272,AB
Clearing Document 200025051,-183.28,,
110006290,-278.4,E000437,AB
Clearing Document 200025052,-278.4,,
110006311,-69.0,E000467,AB
110006312,-160.0,E000467,AB
110006313,-103.33,E000467,AB
Clearing Document 200025053,-332.33,,
110006289,-730.09,E000605,AB
Clearing Document 200025054,-730.09,,
110006291,-72.05,E000787,AB
Clearing Document 200025055,-72.05,,
110006294,-40.7,E000816,AB
110006296,-55.17,E000816,AB
Clearing Document 200025056,-95.87,,
110006307,-759.1,E000960,AB
110006308,-68.0,E000960,AB
110006309,-182.75,E000960,AB
110006310,-121.2,E000960,AB
Clearing Document 200025057,-1131.05,,
110006288,-1027.5,E001065,AB
Clearing Document 200025058,-1027.5,,
110006299,-85.1,E001091,AB
110006300,-84.7,E001091,AB
110006301,-214.64,E001091,AB
Clearing Document 200025059,-384.44,,
110006293,-48.3,E001102,AB
Clearing Document 200025060,-48.3,,
110006297,-40.1,E001420,AB
110006298,-60.15,E001420,AB
Clearing Document 200025061,-100.25,,
110006337,-325.0,E000338,AB
Clearing Document 200025191,-325.0,,
110006331,-290.0,E000491,AB
Clearing Document 200025192,-290.0,,
110006335,-325.0,E000982,AB
Clearing Document 200025193,-325.0,,
110006333,-290.0,E001335,AB
Clearing Document 200025194,-290.0,,
110006334,-290.0,E001343,AB
Clearing Document 200025195,-290.0,,
110006330,-55.0,E001363,AB
Clearing Document 200025196,-55.0,,
110006339,-1335.58,E000358,AB
110006340,-38.25,E000358,AB
Clearing Document 200025197,-1373.83,,
110006270,-90.52,E000563,AB
110006350,-164.7,E000563,AB
110006351,-249.54,E000563,AB
110006352,-323.46,E000563,AB
Clearing Document 200025198,-828.22,,
110006342,-777.63,E000710,AB
110006343,-121.75,E000710,AB
110006344,-89.46,E000710,AB
110006345,-123.65,E000710,AB
