Document Number,Amount in local currency,Supplier,Document Type
110010348,-593.55,E000480,AB
Clearing Document 110010348,0.0,,
110010260,-294.11,E001561,AB
110010352,294.11,E001561,AB
110010353,294.11,E001561,AB
110010353,-294.11,E001561,AB
Clearing Document 110010353,0.0,,
110010369,-785.56,E000790,AB
110010375,785.56,E000790,AB
110010377,785.56,E000790,AB
110010377,-785.56,E000790,AB
Clearing Document 110010377,0.0,,
110010439,457.8,E001293,AB
Clearing Document 110010439,457.8,,
110010544,3000.0,E001082,AB
Clearing Document 110010544,3000.0,,
110010657,420.0,E001539,AB
Clearing Document 110010657,420.0,,
110010658,4500.0,E001204,AB
Clearing Document 110010658,4500.0,,
110011430,850.0,E001398,AB
Clearing Document 110011430,850.0,,
110011466,747.0,E001548,AB
Clearing Document 110011466,747.0,,
110011515,800.0,E001548,AB
Clearing Document 110011515,800.0,,
110011600,-312.82,E000839,AB
110011612,312.82,E000839,AB
110011613,312.82,E000839,AB
110011613,-312.82,E000839,AB
Clearing Document 110011613,0.0,,
110011647,438.8,E000428,AB
Clearing Document 110011647,438.8,,
110011741,800.0,E000243,AB
Clearing Document 110011741,800.0,,
110000006,-500.0,E000611,AB
Clearing Document 200000380,-500.0,,
110000007,-500.0,E001136,AB
Clearing Document 200000386,-500.0,,
110000018,-1400.0,E001353,AB
Clearing Document 200000718,-1400.0,,
110000019,-1200.0,E001357,AB
Clearing Document 200000719,-1200.0,,
110000020,-1200.0,E001560,AB
Clearing Document 200000720,-1200.0,,
110000029,-296.0,E001245,AB
Clearing Document 200000829,-296.0,,
110000031,-600.0,E001387,AB
Clearing Document 200000830,-600.0,,
110000030,-550.0,E001544,AB
Clearing Document 200000831,-550.0,,
110000037,-150.0,E001507,AB
Clearing Document 200000857,-150.0,,
110000036,-180.0,E001025,AB
Clearing Document 200000858,-180.0,,
110000025,-199.79,E000177,AB
Clearing Document 200000959,-199.79,,
110000045,-20.0,E001039,AB
Clearing Document 200000977,-20.0,,
110000046,-20.0,E001501,AB
Clearing Document 200000978,-20.0,,
110000048,-400.0,E000714,AB
Clearing Document 200000984,-400.0,,
110000049,-600.0,E001221,AB
Clearing Document 200000985,-600.0,,
110000050,-400.0,E001222,AB
Clearing Document 200000986,-400.0,,
110000051,-500.0,E001223,AB
Clearing Document 200000987,-500.0,,
110000052,-600.0,E001240,AB
Clearing Document 200000988,-600.0,,
110000053,-594.0,E001275,AB
Clearing Document 200000989,-594.0,,
110000038,-220.0,E001150,AB
Clearing Document 200000994,-220.0,,
110000028,-280.0,E001262,AB
Clearing Document 200001051,-280.0,,
110000026,-500.0,E001409,AB
Clearing Document 200001052,-500.0,,
110000027,-500.0,E001424,AB
Clearing Document 200001053,-500.0,,
110000034,-42.0,E000394,AB
Clearing Document 200001067,-42.0,,
110000035,-42.0,E000567,AB
Clearing Document 200001068,-42.0,,
110000033,-562.03,E001423,AB
Clearing Document 200001069,-562.03,,
110000032,-272.0,E001559,AB
Clearing Document 200001070,-272.0,,
110000057,-600.0,E000982,AB
Clearing Document 200001140,-600.0,,
110000056,-600.0,E001505,AB
Clearing Document 200001141,-600.0,,
110000058,-650.0,E001292,AB
